ID ACB,Nombre ACB,ID Eurocup,Nombre Eurocup,ID Euroleague,Nombre Euroleague,ID Saporta,Nombre Saporta,ID Copa del Rey,Nombre Copa del Rey
20200577,D. Calabria,,,,,26403,"Calabria, D.",,
20200391,F. Elson,,,,,34337,"Elson , F.",20200391,F. Elson
20201159,J.A. Paraíso,BNC,"PARAISO, JOSE ANTONIO",BNC,"PARAISO, JOSE ANTONIO",10350,"Paraiso Gonzalez, J.",20201159,J.A. Paraíso
20201471,B. Clifford,,,,,18406,"Clifford, B.",,
20200635,A. Boccia,,,,,,,,
20201521,C. Schmidt,,,,,20743,"Schmidt, C.",20201521,C. Schmidt
20201538,A. Abbio,AKS,"ABBIO, ALESSANDRO",AKS,"ABBIO, ALESSANDRO",,,20201538,A. Abbio
20201582,A. Montecchia,BMZ,"MONTECCHIA, ALEJANDRO",BMZ,"MONTECCHIA, ALEJANDRO",,,20201582,A. Montecchia
20200621,P. Robles,AAY,"ROBLES, PEDRO",,,,,20200621,P. Robles
20201583,F. Kammerichs,BMY,"KAMMERICHS, FEDERICO",BMY,"KAMMERICHS, FEDERICO",,,20201583,F. Kammerichs
20200351,A. García,KGY,"GARCIA, ASIER",AAQ,"GARCIA, ASIER",,,20200351,A. García
20200458,F. Oberto,AJE,"OBERTO, FABRICIO",AJE,"OBERTO, FABRICIO",,,20200458,F. Oberto
20200608,D. Tomasevic,AFC,"TOMASEVIC, DEJAN",AFC,"TOMASEVIC, DEJAN",,,20200608,D. Tomasevic
20201663,B. Cardinal,BUI,"CARDINAL, BRIAN LEE",,,,,,
20201624,L. Mainoldi,BUL,"MAINOLDI, LEO",BUL,"MAINOLDI, LEO",,,,
20201626,P. Liadellis,,,,,,,,
20201509,O. Arteaga,BTF,"ARTEAGA, OLIVER",,,,,,
20201631,F. Vay,,,BUJ,"VAY, FABRICIO",,,,
20201629,G. Khizhnyak,,,,,,,,
20201675,M. Popovic,,,ATP,"POPOVIC, MARKO",,,,
20201678,D. Dikoudis,,,ABB,"DIKOUDIS, DIMOS",,,20201678,D. Dikoudis
20201676,A. Rigaudeau,ALH,"RIGAUDEAU, ANTOINE",ALH,"RIGAUDEAU, ANTOINE",,,20201676,A. Rigaudeau
20201677,P. Llompart,CQU,"LLOMPART, PEDRO",CQU,"LLOMPART, PEDRO",,,20201677,P. Llompart
20200647,J. Rodríguez,,,CQV,"RODRIGUEZ, JAVIER",,,,
20201716,R. Pack,,,DIL,"PACK, ROBERT",,,20201716,R. Pack
20201869,A. Urtasun,BUK,"URTASUN, ALEX",,,,,20201869,A. Urtasun
20201835,I. Rakocevic,ANB,"RAKOCEVIC, IGOR",,,,,20201835,I. Rakocevic
20201736,G. Jackson,DIB,"JACKSON, GERMAINE",,,,,,
20200547,A. Okulaja,ASB,"OKULAJA, ADEMOLA",,,,,20200547,A. Okulaja
20201870,R. Archibald,KBD,"ARCHIBALD, ROBERT",,,,,,
20201282,O. Yebra,KBC,"YEBRA, OSCAR",,,,,20201282,O. Yebra
20201647,A. Jones,BSJ,"JONES, ALVIN",,,,,,
20201739,J. Fisher,,,,,,,,
20201756,B. Drew,KHH,"DREW, BRYCE HOMER",,,,,,
20201832,C. Julian,BCY,"JULIAN, CYRIL",,,,,20201832,C. Julian
20201807,D. Dial,,,,,,,,
20201859,L. Harrington,,,,,,,20201859,L. Harrington
20201862,E. Sklavos,,,,,,,20201862,E. Sklavos
20200436,A. Miralles,BFT,"MIRALLES, ALBERT",,,,,20200436,A. Miralles
20201808,V. Avdalovic,AUQ,"AVDALOVIC, VULE",,,,,20201808,V. Avdalovic
20200579,R. Garcés,JJQ,"GARCES, RUBEN",,,,,20200579,R. Garcés
20200500,M. Timinskas,AJI,"TIMINSKAS, MINDAUGAS",,,,,20200500,M. Timinskas
20200605,F. Larragán,,,,,,,,
20201884,B. Stepp,,,,,,,20201884,B. Stepp
20201874,C. Bivià,,,,,,,,
20201903,T. Stoykov,,,,,,,,
20200389,A. Goldwire,,,,,,,,
20200483,A. Oliver,554,"OLIVER, ALBERT",,,,,20200483,A. Oliver
20201935,R. Douglas,JJU,"DOUGLAS, RUBEN",,,,,20201935,R. Douglas
20201933,H. Mujezinovic,,,,,,,,
20201932,R. Chiacig,,,,,,,,
20201936,D. Milojevic,AEX,"MILOJEVIC, DEJAN",,,,,,
20201934,J. Stefánsson,LUK,"STEFANSSON, JON",,,,,20201934,J. Stefánsson
20201901,V. Claver,556,"CLAVER, VICTOR",556,"CLAVER, VICTOR",,,20201901,V. Claver
20201985,L. Mavrokefalidis,,,,,,,,
20201659,J. Hamilton,,,,,,,,
20201743,A. Fontet,,,,,,,,
20201792,S. Williams,KMG,"WILLIAMS, SHAMMOND",,,,,20201792,S. Williams
20201954,F. House,BSF,"HOUSE, FRED",,,,,20201954,F. House
20203581,C. Fonseca,767,"FONSECA, CLAUDIO",,,,,,
20201999,S. Barac,TGC,"BARAC, STANKO",,,,,20201999,S. Barac
20202047,B. Avramov,658,"AVRAMOV, BOZHIDAR",,,,,,
20202007,Z. Rebraca,555,"REBRACA, ZELJKO",,,,,,
20203733,F. Da Cruz,,,,,,,,
20202055,M. Molina,,,,,,,,
20202044,I. González,558,"GONZALEZ, IGNACIO",,,,,,
20202107,K. Perovic,BFG,"PEROVIC, KOSTA",,,,,20202107,K. Perovic
